Proba [m],Czas
1,0.0125044
2,0.0106452
3,0.0109081
4,0.0107843
5,0.0106122
6,0.0107512
7,0.0109646
8,0.0105815
9,0.0106064
10,0.0107921
Srednia,0.0119942
Odchylenie,0.00120853
